DATE READ,FILE,WRITTEN LABEL,PUNCHED LABEL,DESCRIPTION,SOURCE
11/12/2011,ALGPLOT,900 ALGOL PLOTTER ROUTINES AP75 RLB,900 ALGOL PLOTTER ROUTINES AP75 RLB,ALGOL PLOTTER LIBRARY,TNMOC
20/12/2011,ALMAT(ISS2),900 ALMAT ISS. 2,900 ALMAT ISSUE 2,900 ALMAT,TNMOC
30/06/2012,AND.1,AND SOURCE SIR 14 JAN 79,,,DGNH
10/12/2011,BASIC16K,900 BASIC 18/9/80 92AH-16K,Elliott 900 BASIC [92/AH/BB/16384] 18/9/90,16K BASIC SYSTEM,TJF
10/12/2011,BASIC8K,900 BASIC 18/9/80 92AH-8K,Elliott 900 BASIC [92/AH/BB/8177] 18/9/90,8K BASIC SYSTEM,TJF
20/12/2011,BATTLE(6),BATTLE 6 SOURCE,BATTLE 6,BATTLESHIPS?,TNMOC
,BCR57,BCR5Y,,DGNH Algol program for processing data?,TNMOC
20/12/2011,BINCOP,BINCOP 20/7/70,,ACD BINCOP UTILITY,TJF
20/12/2011,BOWDLER,BOWDLER 13/7/82,,ACD BOWDLER UTILITY,TJF
23/03/2012,C34,C.34 TRACE PROG 920A T2,,,TNMOC
10/12/2011,CARDIN(ISS1),903 CARDIN ISSUE 1 12-FEB-68 NEW ISSUE,903 CARDIN ISSUE 1 ,CARDIN,DNGH
20/12/2011,CLEANSIRIII,CLEAN SIRIII 920A [10.7.67],,,TNMOC
30/06/2012,COPY,COPY SIR SOURCE FEB 89,,,DGNH
20/12/2011,DOALL4,DO-ALL-4 3/8/70,,ACD DO-ALL-4 UTILITY,TJF
23/03/2012,E1A,SIR E1A,,QDLA (PRE ISS 3),TMNOC
10/12/2011,EASTERD,EASTERD,,EASTER DAY BASIC PROGRAM,TJF
20/12/2011,EDIT(SRC)(ISS2),EDIT IN SIR ISS 2,,EDIT SOURCE,TNMOC
30/06/2012,EDSACSIMULATOR,EDSAC SIMULATOR SOURCE 22 DEC 89,,EDSAC SIMULATOR,DGNH
20/12/2011,ENTERTAINER,THE ENTERTAINER,,MUSIC,TNMOC
20/12/2011,ESP2(ISS2),ESP 900 TAPE 2 ISSUE 2,ESP900 TAPE2(ISSUE2),ESP TAPE 2,TNMOC
30/06/2012,FLOOR.1,FLOOR SIR SOURCE 22 JAN 1994,,,DGNH
18/04/2012,FORMAT,FORMAT SOURCE 30 OCT 1975,,,DGNH
01/07/2012,FORPATCH,For block / actual parameters type proc problem source,,,DGNH
01/07/2012,FORPATCH2,FOR BLOCK/ACTUAL PARAMETERLESS TYPE PROCEDURE PROBLEM TAPE 2 PATCH 23 SEP 1978,,Must be input AFTER the TAPE 2 30th Dec  76 PATCH,DGNH
20/12/2011,GAMES2,GAMES SOURCE,GAMES 2,,TNMOC
10/12/2011,GCDLOOP,GCDLOOP.1,,GCD BASIC PROGRAM,TJF
20/12/2011,IOPACK,I/O PACK (ISO) QIN1 (BASIC) QOUT1 (ALD) PRINT SSYS %,IOPACK,,TNMOC
11/12/2011,LOADER,903 LOADER FOR 8K STORE,,,TNMOC
23/03/2012,LOADER16K(ISS3),903 LOADER FOR 16K ISSUE 3,,,TNMOC
20/12/2011,MAPLOAD(256)(ISS2),MAPLOD 256 ISS. 2,MAPLOD 256 ISS2,MAPLOD,TNMOC
20/12/2011,MAPLOD(4096)(920B),MAPLOD 4096 920B,,MAPLOD,TNMOC
20/12/2011,MAPLOD(4096)(ISS2),MAPLOD 4096 ISS. 2,MAPLOD 4096 ISS2,MAPLOD,TNMOC
20/12/2011,MASIR(ISS1),900 MASIR ISS. 1,900 SERIES MASIR ISSUE 1,MASIR,TNMOC
20/12/2011,MASIR(ISS3),MASIR ISS 3 SCB 13.3.73,MASIR ISS 3 SCB 13.3.73,903 MASIR,TNMOC
01/07/2012,MOD0PATCH,MODULE 0 PATCHES 19 AUG 1978 26 AUG 1978 needs  type proc patch,,Has type proc patch and also load and go patch with instructions written on tape,DGNH
01/07/2012,MOD0PATCHSRC,Module 0 patch (source) 26 AUG 1978,,,DGNH
01/07/2012,MOD1PATCH,MODULE 1 PATCHES 19 AUG 1978 26 AUG 1978,,Enter at 9 to copy translator to module 1,DGNH
01/07/2012,MOD1PATCHSRC,MODULE 1 PATCH SOURCE  19 AUG 1968,,,DGNH
01/07/2012,MODESET160287,Mode setting tape 16 Feb 1987,,,DGNH
01/07/2012,MODULESRC,MODULE,,,DGNH
10/12/2011,MONITOR,903 MONITOR ISS 1,903 MONITOR ISSUE 1,MONITOR,DNGH
20/12/2011,MSDUMP(ISS3),903 MSDUMP ISS 3,903 MSDUMP ISS3,,TNMOC
20/12/2011,MTALGOL(ISS3),900 MTALGOL ISS. 3,900 MTALGOL ISSUE3,MTALGOL,TNMOC
23/03/2012,MUSIC,MUSIC SCB,,,TNMOC
20/12/2011,MUSICAB,MUSIC ABSOLUTE BINARY LISTING,,,TNMOC
20/12/2011,MUSICDG,,MUSIC DERUCCO GNIRTS,,TNMOC
20/12/2011,MUSICSRC,MUSIC SOURCE TAPE,MUSIC WRITING PROGRAM,,TNMOC
23/03/2012,MUSICTRANS,MUSIC TRANS SOURCE ALGOL,MUSIC TRANSLATOR (REVISED) 24/2/79,,TNMOC
01/07/2012,PACKALGLGISS6,PACK. 903 Algol (LG) issue 6 Nov 1984,,Note at end: start execution at 10,DGNH
01/07/2012,PATCHALG1ISS6SWITCH,Patch for 903 Algol Issue 6 Switch List Patch 17 Nov 77,,,DGNH
01/07/2012,PATCHALGISS6TAPE1,Patch for 903 Algol Issue 6 Patch for TAPE 1,,,DGNH
01/07/2012,PATCHALGISS6TAPE2,Patch for 903 Algol Issue 6 Patch for TAPE 2,,,DGNH
30/06/2012,PATCHES(30DEC76),PATCHES SOURCE 25 NOV 76 (26 NOV MOD) 30 DEC 1976,,DAMAGED TAPE - MISREADS EACH TIME,DGNH
30/06/2012,PERT1(ISS2)(SCB),903 PERT1 ISSUE 2 SCB,,PERT SCB,DGNH
30/06/2012,PERT1(ISS2)(SOURCE) ,903 PERT1 ISSUE 2 SOURCE  10.12.71,,PERT SOURCE ISSUE 2,DGNH
24/06/2012,PI,PI FORTRAN 24 OCT 78,,FORTRAN SOURCE TO CALCULATE PI,DGNH
30/06/2012,PRTLIB,PRTLIB 23-SEP-1997,,,DGNH
10/12/2011,QATAN(ISS1),903 QDATAN (B10) ISS.1,903 QDATAN (B10) ISSUE 1,QDATAN,DNGH
23/03/2012,QCHECK(ISS2),QCHECK (ISSUE 2) C2,903 QCHECK (C2) ISSUE 2,,TNMOC
23/03/2012,QCHECK(ISS3),QCHECK (MASIR) 122.70 ISS 3,900 QCHECK MASIR ISS 3,MASIR ISSUE 3,TNMOC
10/12/2011,QDAATAN(ISS1),903 QDAATAN (B105A) ISS 1,903 QDAATAN (B105A) ISSUE 1,QDAATAN,DNGH
10/12/2011,QDASIN(ISS1),903 QDASIN B104A ISS 1,903 QDASIN (B104A) ISSUE 1,QDASIN,DNGH
10/12/2011,QDASQRT(ISS1),903 QDASQRT (B106A) ISSUE 1,903 QDASQRT (B106A) ISSUE 1,QDASQRT,DNGH
10/12/2011,QDLA(ISS3),903 QDLA ISSUE 3 12-FEB-68 NEW ISSUE,903 QDLA ISSUE 3 ,QDLA,DNGH
10/12/2011,QDLB(ISS2),903 QLDB (E1B) ISSUE 2,903 QLDB ISSUE 2,QDLB,DNGH
10/12/2011,QEXP(ISS1),903 QEXP (B2) ISS.1,903 QEXP (B2) ISSUE 1,QEXP,DNGH
10/12/2011,QF(ISS2),903 QF SOURCE (SIR) ISSUE 2,903 QF  ISSUE 2,QF,DNGH
10/12/2011,QFINOUT(ISS2),903 QFIN/OUT ISS 2 (21-2-72),903 QFIN/OUT ISSUE 2,QFINOUT,DNGH
20/12/2011,QFMATH(ISS2),903 QFMATH ISS. 2,903 QFMATH ISSUE 2,QFMATH,TNMOC
20/12/2011,QIN1(ISS3),QIN1 ISS 3,903 QIN1 ISSUE 3,QIN1,TNMOC
20/12/2011,QIN1BTTY,QIN1 BASIC TTY,,QIN1,TNMOC
20/12/2011,QIN1QOUT1,SIR QIN1 QOUT1,,QIN1+QOUT1+SSYS (versions not known),TNMOC
20/12/2011,QLN(ISS2),903 QLN (B1) ISS 2,903 QLN (B1) ISSUE 2,QLN,TNMOC
10/12/2011,QLPOUT(ISS1),903 QLPOUT ISSUE 1 12-FEB-68 NEW ISSUE,903 QLPOUT ISSUE 1 ,QLPOUT,DNGH
10/12/2011,QOUT1(ISS3),903 QOUT1 ISSUE 3,QOUT1 ISSUE 3,QOUT1,DNGH
20/12/2011,QOUT1(ISS4),903 QOUT1 ISS 4 10.2.72 SIR,,QOUT1,TNMOC
10/12/2011,QSIN(ISS1),903 QSIN (B4) ISSUE 1,903 QSIN (B4) ISSUE 1,QSIN,DNGH
10/12/2011,QSQRT(ISS1),903 QSQRT (B6) ISS.1,903 QSQRT (B6) ISSUE 1,QSQRT,DNGH
30/06/2012,RAISELOWERPEN.1,RAISEPEN LOWERPEN SOURCE 1 SEPT 82,,,DGNH
,RLBREADER,RLB READER 3,RLB READER 3,Program to unpick RLB tapes - contains many bugs,TNMOC
30/06/2012,RSHIFT,RSHIFT SOURCE  24 MARCH,,,DGNH
20/12/2011,SHEBA,ARRIVAL OF THE QUEEN OF SHEBA (HALF SPEED),,Missing last 100 or so notes,TNMOC
20/12/2011,SHELLSORT(ISS3),900 SHELLSORT ISS 3,900 SHELLSORT ISSUE 3,SHELLSORT,TNMOC
10/12/2011,SIR(ISS5)(512),903 SIR @ 512 ISSUE 5 SCB TAPE + LOADER 9/1/69,,SIR ASSEMBLER ISSUE 5 IN LOW STORE,DNGH
10/12/2011,SIR(ISS5)(5500),SIR ASSEMBLER ISS 5 @ 5500,,SIR ASSEMBLER ISSUE 5 IN HIGH STORE,DNGH
10/12/2011,SIR2PASS,2-PASS SIR 7/1/71,,ACD 2 PASS SIR,TJF
23/03/2012,SIRALG1ISS6F,SIR ALG1 ISS 6F,ALG1 (6.F),,TMNOC
,SIRLIB,SIRLIB-SIR-18/10/79,,DGNH code procs for a CAP application?,TNMOC
20/12/2011,SSYS(SOD3),"SSYS (QIN, QOUT) TTY",903  SSYS SOD3,SSYS1 CHRISTCHIRCH SCHOOL?,TNMOC
20/12/2011,SSYS1(ISS1),903 SSYS1 ISS. 1,903 SSYS1 ISSUE 1,SSYS1,TNMOC
20/12/2011,STARTREKSRC,STARTREK TAPE 1 SOURCE,STARTREK F/1,STARTREK GAME,TNMOC
01/07/2012,TAPE1PATCH151083,TAPE 1 PATCH switch list Nov 77 + May 80 Fix Source 15 Oct 83,,,DGNH
16/12/2011,TREES,,,LEGIBLE CHRISTMAS TREES,TJF
18/04/2012,X12(ISS3),X.12 STORE TEST ISS 3 (TRIGGER AT 8),X12 STORE TEST ISS.3,,DGNH
18/04/2012,X202181266,X.202 ,903 X202 BIN 18 12 66,,DGNH
18/04/2012,X202181266,X.202 ,903 X202 BIN 18 12 66,,DGNH
18/04/2012,X202PARAMS,X.202 PARAMETER TAPE,,,DGNH
18/04/2012,X33,X33 OFFLINE TEST,,,DGNH
18/04/2012,X5(ISS3),X5 ISSUE 3,X5 920B. M&C ISS 3.,,DGNH
18/04/2012,X6(ISS2),903 X6 ISSUE 2,,,DGNH
18/04/2012,X7(ISS5),X7 ISS 5,X7 920 BMC ISS 5,,DGNH
01/01/2012,XFIND,XFIND ISS 1,903 XFIND ISSUE 1,,TNMOC
20/12/2011,XFIND(ISS1),903 XFIND ISS. 1,903 XFIND ISSUE 1,Make change utility,TMNOC
06/06/2013,MUSICBASIC,MUSIC BASIC,MUSIC BASIC,Harmonisation ptogtam,TMNOC
06/06/2013,MUSICCAROLS,MUSIC PROGRAM  22/2/72 & CAROLS 22/12/71,,TJF music player and tunes,TJF
06/06/2013,MAESTRO,MAESTRO DAT (AT 13) COCKLES & MUSSELS & SAINTS JOHN FISHER SCHOOL COMPUTER UNIT,,Binary data only,TNMOC
06/06/2013,MUSICXX,,,"Fragile tape in box file ""903 MUSIC PROGRAM STUFF?""",TNMOC
17/10/2013,BASICTICTACTOE,BASIC TIC TAC TOE 17/8/13 ASCII,,,TJF
17/10/2013,TICTACTOE,903 TIC TAC TOE 23/9/13 Binary mode 3,,,TJF
18/10/2013,MANDYMUSIC,"MANDY'S MUSIC 14/3/72, 900-Series Telecode",,Trumpet Voluntary and Jesu Soul of Man's Desiring for TJF music program,TJF
21/10/2013,EDSAC_HORN,Edsac Horn April 89,,,DGNH
21/10/2013,EDSAC_PG61A,Page 61 example but (1) proper E3 (2) 200(50)450 in x (3) result multiplied by (xsinX)/100 5 Nov 89,,,DGNH
21/10/2013,EDSAC_PG61B,page 61 example using Q2 and multiplying the result by xsinX 11 Nov 89,,,DGNH
21/10/2013,EDSAC_CPG51,CP51 17 Oct 89 check page 51 (Algol),,Algol version of WWG page 51 example - needs multiprecision stuff?,DGNH
21/10/2013,EDSAC_CHAPMAN,Chapman Integral 27 Sept. 1992,,,DGNH
26/10/2013,EDSAC_PG51A,P51 longer version,,Algol program,DGNH
26/10/2013,EDSAC_PG61C,P61 Example 4-Feb-89,,,DGNH
26/10/2013,EDSAC_SINETEST1,EDSASC I SINE TEST using M1 16 July 88,,,DGNH
26/10/2013,EDSAC_AIRY1,AIREY INTEGRAL 27 OCT 89 Five place working,,,DGNH
26/10/2013,EDSAC_PG61_Q2_OUT,p61 Q2 output 11 Nov 89,,,DGNH
26/10/2013,EDSAC_MULTIPLIER,MULTIPLIER TEST 20 Nov 89,,,DGNH
26/10/2013,EDSAC_SINETEST2,EDSAC I SINE TEST 13 July 88,,,DGNH
26/10/2013,EDSAC_PG51B,P51 example with print out at end of each call of AUX 15 Oct 89,,,DGNH
